014A Eng.smcp             # LATIN CAPITAL LETTER ENG
014C Omacron.smcp         # LATIN CAPITAL LETTER O WITH MACRON
014E Obreve.smcp          # LATIN CAPITAL LETTER O WITH BREVE
0150 Ohungarumlaut.smcp   # LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0152 OE.smcp              # LATIN CAPITAL LIGATURE OE
0154 Racute.smcp          # LATIN CAPITAL LETTER R WITH ACUTE
0156 Rcommaaccent.smcp    # LATIN CAPITAL LETTER R WITH CEDILLA
0158 Rcaron.smcp          # LATIN CAPITAL LETTER R WITH CARON
015A Sacute.smcp          # LATIN CAPITAL LETTER S WITH ACUTE
015C Scircumflex.smcp     # LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015E Scedilla.smcp        # LATIN CAPITAL LETTER S WITH CEDILLA
0160 Scaron.smcp          # LATIN CAPITAL LETTER S WITH CARON
0162 uni0162.smcp         # LATIN CAPITAL LETTER T WITH CEDILLA
0164 Tcaron.smcp          # LATIN CAPITAL LETTER T WITH CARON
0166 Tbar.smcp            # LATIN CAPITAL LETTER T WITH STROKE
0168 Utilde.smcp          # LATIN CAPITAL LETTER U WITH TILDE
016A Umacron.smcp         # LATIN CAPITAL LETTER U WITH MACRON
016C Ubreve.smcp          # LATIN CAPITAL LETTER U WITH BREVE
016E Uring.smcp           # LATIN CAPITAL LETTER U WITH RING ABOVE
0170 Uhungarumlaut.smcp   # LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0172 Uogonek.smcp         # LATIN CAPITAL LETTER U WITH OGONEK
0174 Wcircumflex.smcp     # LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0176 Ycircumflex.smcp     # LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0178 Ydieresis.smcp       # LATIN CAPITAL LETTER Y WITH DIAERESIS
0179 Zacute.smcp          # LATIN CAPITAL LETTER Z WITH ACUTE
017B Zdotaccent.smcp      # LATIN CAPITAL LETTER Z WITH DOT ABOVE
017D Zcaron.smcp          # LATIN CAPITAL LETTER Z WITH CARON
01FA Aringacute.smcp      # LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FC AEacute.smcp         # LATIN CAPITAL LETTER AE WITH ACUTE
01FE Oslashacute.smcp     # LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0218 Scommaaccent.smcp    # LATIN CAPITAL LETTER S WITH COMMA BELOW
0386 Alphatonos.smcp      # GREEK CAPITAL LETTER ALPHA WITH TONOS
0388 Epsilontonos.smcp    # GREEK CAPITAL LETTER EPSILON WITH TONOS
0389 Etatonos.smcp        # GREEK CAPITAL LETTER ETA WITH TONOS
038A Iotatonos.smcp       # GREEK CAPITAL LETTER IOTA WITH TONOS
038C Omicrontonos.smcp    # GREEK CAPITAL LETTER OMICRON WITH TONOS
038E Upsilontonos.smcp    # GREEK CAPITAL LETTER UPSILON WITH TONOS
038F Omegatonos.smcp      # GREEK CAPITAL LETTER OMEGA WITH TONOS
0391 Alpha.smcp           # GREEK CAPITAL LETTER ALPHA
0392 Beta.smcp            # GREEK CAPITAL LETTER BETA
0393 Gamma.smcp           # GREEK CAPITAL LETTER GAMMA
0394 Delta.smcp           # GREEK CAPITAL LETTER DELTA
0395 Epsilon.smcp         # GREEK CAPITAL LETTER EPSILON
0396 Zeta.smcp            # GREEK CAPITAL LETTER ZETA
0397 Eta.smcp             # GREEK CAPITAL LETTER ETA
0398 Theta.smcp           # GREEK CAPITAL LETTER THETA
0399 Iota.smcp            # GREEK CAPITAL LETTER IOTA
039A Kappa.smcp           # GREEK CAPITAL LETTER KAPPA
039B Lambda.smcp          # GREEK CAPITAL LETTER LAMDA
039C Mu.smcp              # GREEK CAPITAL LETTER MU
039D Nu.smcp              # GREEK CAPITAL LETTER NU
039E Xi.smcp              # GREEK CAPITAL LETTER XI
039F Omicron.smcp         # GREEK CAPITAL LETTER OMICRON
03A0 Pi.smcp              # GREEK CAPITAL LETTER PI
03A1 Rho.smcp             # GREEK CAPITAL LETTER RHO
03A3 Sigma.smcp           # GREEK CAPITAL LETTER SIGMA
03A4 Tau.smcp             # GREEK CAPITAL LETTER TAU
03A5 Upsilon.smcp         # GREEK CAPITAL LETTER UPSILON
03A6 Phi.smcp             # GREEK CAPITAL LETTER PHI
03A7 Chi.smcp             # GREEK CAPITAL LETTER CHI
03A8 Psi.smcp             # GREEK CAPITAL LETTER PSI
03A9 Omega.smcp           # GREEK CAPITAL LETTER OMEGA
03AA Iotadieresis.smcp    # GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03AB Upsilondieresis.smcp # GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0401 uni0401.smcp         # CYRILLIC CAPITAL LETTER IO
0402 uni0402.smcp         # CYRILLIC CAPITAL LETTER DJE
0403 uni0403.smcp         # CYRILLIC CAPITAL LETTER GJE
0404 uni0404.smcp         # CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405 uni0405.smcp         # CYRILLIC CAPITAL LETTER DZE
0406 uni0406.smcp         # CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0407 uni0407.smcp         # CYRILLIC CAPITAL LETTER YI
0408 uni0408.smcp         # CYRILLIC CAPITAL LETTER JE
0409 uni0409.smcp         # CYRILLIC CAPITAL LETTER LJE
040A uni040A.smcp         # CYRILLIC CAPITAL LETTER NJE
040B uni040B.smcp         # CYRILLIC CAPITAL LETTER TSHE
040C uni040C.smcp         # CYRILLIC CAPITAL LETTER KJE
040E uni040E.smcp         # CYRILLIC CAPITAL LETTER SHORT U
040F uni040F.smcp         # CYRILLIC CAPITAL LETTER DZHE
0410 uni0410.smcp         # CYRILLIC CAPITAL LETTER A
0411 uni0411.smcp         # CYRILLIC CAPITAL LETTER BE
0412 uni0412.smcp         # CYRILLIC CAPITAL LETTER VE
0413 uni0413.smcp         # CYRILLIC CAPITAL LETTER GHE
0414 uni0414.smcp         # CYRILLIC CAPITAL LETTER DE
0415 uni0415.smcp         # CYRILLIC CAPITAL LETTER IE
0416 uni0416.smcp         # CYRILLIC CAPITAL LETTER ZHE
0417 uni0417.smcp         # CYRILLIC CAPITAL LETTER ZE
0418 uni0418.smcp         # CYRILLIC CAPITAL LETTER I
0419 uni0419.smcp         # CYRILLIC CAPITAL LETTER SHORT I
041A uni041A.smcp         # CYRILLIC CAPITAL LETTER KA
041B uni041B.smcp         # CYRILLIC CAPITAL LETTER EL
041C uni041C.smcp         # CYRILLIC CAPITAL LETTER EM
041D uni041D.smcp         # CYRILLIC CAPITAL LETTER EN
041E uni041E.smcp         # CYRILLIC CAPITAL LETTER O
041F uni041F.smcp         # CYRILLIC CAPITAL LETTER PE
0420 uni0420.smcp         # CYRILLIC CAPITAL LETTER ER
0421 uni0421.smcp         # CYRILLIC CAPITAL LETTER ES
0422 uni0422.smcp         # CYRILLIC CAPITAL LETTER TE
0423 uni0423.smcp         # CYRILLIC CAPITAL LETTER U
0424 uni0424.smcp         # CYRILLIC CAPITAL LETTER EF
0425 uni0425.smcp         # CYRILLIC CAPITAL LETTER HA
